turn is 342, now time is 17399.246367931366, scover line is 82918
turn is 343, now time is 17426.02172780037, scover line is 82918
turn is 344, now time is 17452.788203954697, scover line is 83208
turn is 345, now time is 17479.472603797913, scover line is 83208
turn is 346, now time is 17514.716101884842, scover line is 83208
turn is 347, now time is 17541.058892011642, scover line is 83208
turn is 348, now time is 17576.079311847687, scover line is 83208
turn is 349, now time is 17602.50997185707, scover line is 83325
turn is 350, now time is 17727.830147981644, scover line is 84779
turn is 351, now time is 17754.29170179367, scover line is 84779
turn is 352, now time is 17788.572839975357, scover line is 84779
turn is 353, now time is 17824.23061299324, scover line is 84779
turn is 354, now time is 17869.20160984993, scover line is 84779
turn is 355, now time is 17903.76158094406, scover line is 84779
turn is 356, now time is 17969.771875858307, scover line is 84779
turn is 357, now time is 17997.696918964386, scover line is 84779
turn is 358, now time is 18024.97587800026, scover line is 84779
turn is 359, now time is 18059.05552792549, scover line is 84779
turn is 360, now time is 18096.259594917297, scover line is 84779
turn is 361, now time is 18122.196192979813, scover line is 84779
turn is 362, now time is 18151.662744998932, scover line is 84779
turn is 363, now time is 18177.74852490425, scover line is 84779
turn is 364, now time is 18204.499460935593, scover line is 84779
turn is 365, now time is 18289.77160191536, scover line is 84779
turn is 366, now time is 18325.614050865173, scover line is 84779
turn is 367, now time is 18359.83036184311, scover line is 84779
turn is 368, now time is 18386.595597982407, scover line is 84779
turn is 369, now time is 18530.524755001068, scover line is 84779
turn is 370, now time is 18587.767373800278, scover line is 84779
turn is 371, now time is 18613.278708934784, scover line is 84779
turn is 372, now time is 18647.822989940643, scover line is 84779
turn is 373, now time is 18683.673617839813, scover line is 84779
turn is 374, now time is 18829.40963602066, scover line is 84779
turn is 375, now time is 18855.177797794342, scover line is 84779
turn is 376, now time is 18889.24746990204, scover line is 84781
turn is 377, now time is 18944.922038793564, scover line is 84781
turn is 378, now time is 18980.26283288002, scover line is 84785
turn is 379, now time is 19077.745271921158, scover line is 84785
turn is 380, now time is 19241.96358895302, scover line is 84785
turn is 381, now time is 19269.331692934036, scover line is 84886
turn is 382, now time is 19393.30984902382, scover line is 84886
turn is 383, now time is 19427.92505979538, scover line is 84886
turn is 384, now time is 19456.71171784401, scover line is 84886
turn is 385, now time is 19621.287801980972, scover line is 84886
turn is 386, now time is 19686.255486011505, scover line is 84886
turn is 387, now time is 19712.9444129467, scover line is 84886
turn is 388, now time is 19748.4564909935, scover line is 84886
turn is 389, now time is 19782.35872888565, scover line is 84967
turn is 390, now time is 19838.552426815033, scover line is 84967
turn is 391, now time is 19864.354746818542, scover line is 84992
turn is 392, now time is 19891.34944295883, scover line is 84992
turn is 393, now time is 19926.768016815186, scover line is 84992
turn is 394, now time is 20091.526616811752, scover line is 84992
turn is 395, now time is 20120.824289798737, scover line is 84992
turn is 396, now time is 20145.673066854477, scover line is 84992
turn is 397, now time is 20181.54995584488, scover line is 84992
turn is 398, now time is 20285.50028181076, scover line is 85088
turn is 399, now time is 20313.69123196602, scover line is 85088
turn is 400, now time is 20340.760221004486, scover line is 85088
turn is 401, now time is 20375.07767701149, scover line is 85088
turn is 402, now time is 20400.635744810104, scover line is 85088
turn is 403, now time is 20435.870936870575, scover line is 85088
turn is 404, now time is 20540.66250681877, scover line is 85088
turn is 405, now time is 20576.293859004974, scover line is 85257
turn is 406, now time is 20604.425723791122, scover line is 85257
turn is 407, now time is 20710.36603498459, scover line is 85257
turn is 408, now time is 20885.478173017502, scover line is 85257
turn is 409, now time is 20915.014982938766, scover line is 85257
turn is 410, now time is 21029.569841861725, scover line is 85257
turn is 411, now time is 21057.792536973953, scover line is 85257
turn is 412, now time is 21153.37169289589, scover line is 85257
turn is 413, now time is 21180.382403850555, scover line is 85257
turn is 414, now time is 21215.45321583748, scover line is 85258
turn is 415, now time is 21290.92485499382, scover line is 85258
turn is 416, now time is 21320.542088985443, scover line is 85258
turn is 417, now time is 21346.16074180603, scover line is 85258
turn is 418, now time is 21520.85144996643, scover line is 85258
turn is 419, now time is 21586.076120853424, scover line is 85273
turn is 420, now time is 21612.88983297348, scover line is 85273
turn is 421, now time is 21648.57242679596, scover line is 85273
turn is 422, now time is 21683.248956918716, scover line is 85371
turn is 423, now time is 21717.936817884445, scover line is 85371
turn is 424, now time is 21744.994104862213, scover line is 85371
turn is 425, now time is 21780.160740852356, scover line is 85371
turn is 426, now time is 21809.459875822067, scover line is 85371
turn is 427, now time is 21834.760841846466, scover line is 85371
turn is 428, now time is 21869.419029951096, scover line is 85396
turn is 429, now time is 21895.570540905, scover line is 85396
turn is 430, now time is 21929.798736810684, scover line is 85396
turn is 431, now time is 21956.835588932037, scover line is 85396
turn is 432, now time is 22051.879834890366, scover line is 85396
turn is 433, now time is 22086.719555854797, scover line is 85396
turn is 434, now time is 22112.891804933548, scover line is 85396
turn is 435, now time is 22209.08474087715, scover line is 85396
turn is 436, now time is 22244.345103025436, scover line is 85396
turn is 437, now time is 22279.186065912247, scover line is 85396
turn is 438, now time is 22304.737133026123, scover line is 85396
turn is 439, now time is 22380.338516950607, scover line is 85396
turn is 440, now time is 22574.76805281639, scover line is 85397
turn is 441, now time is 22710.502940893173, scover line is 85397
turn is 442, now time is 22834.993139982224, scover line is 85397
turn is 443, now time is 22869.24255490303, scover line is 85397
turn is 444, now time is 22898.76749396324, scover line is 85397
turn is 445, now time is 22934.35320997238, scover line is 85397
turn is 446, now time is 22962.07297182083, scover line is 85397
turn is 447, now time is 23067.235023975372, scover line is 85397
turn is 448, now time is 23100.737802028656, scover line is 85397
turn is 449, now time is 23135.661559820175, scover line is 85397
turn is 450, now time is 23169.895272016525, scover line is 85397
turn is 451, now time is 23199.34499192238, scover line is 85397
turn is 452, now time is 23226.012923955917, scover line is 85397
turn is 453, now time is 23253.560542821884, scover line is 85397
turn is 454, now time is 23280.13255596161, scover line is 85397
turn is 455, now time is 23314.8682179451, scover line is 85397
turn is 456, now time is 23349.845659017563, scover line is 85397
turn is 457, now time is 23385.33846282959, scover line is 85398
turn is 458, now time is 23411.836763858795, scover line is 85398
turn is 459, now time is 23446.35113787651, scover line is 85398
turn is 460, now time is 23480.164703845978, scover line is 85398
turn is 461, now time is 23509.55487680435, scover line is 85398
turn is 462, now time is 23535.89810681343, scover line is 85398
turn is 463, now time is 23571.536634922028, scover line is 85398
turn is 464, now time is 23626.32857298851, scover line is 85398
turn is 465, now time is 23660.701430797577, scover line is 85398
turn is 466, now time is 23766.596844911575, scover line is 85398
turn is 467, now time is 23922.78831386566, scover line is 85398
turn is 468, now time is 23977.69647884369, scover line is 85398
turn is 469, now time is 24011.899817943573, scover line is 85398
turn is 470, now time is 24146.30572295189, scover line is 85398
turn is 471, now time is 24181.33657193184, scover line is 85398
turn is 472, now time is 24207.872478961945, scover line is 85398
turn is 473, now time is 24332.535290956497, scover line is 85484
turn is 474, now time is 24358.397310972214, scover line is 85484
turn is 475, now time is 24394.564648866653, scover line is 85484
turn is 476, now time is 24429.379154920578, scover line is 85484
turn is 477, now time is 24456.807318925858, scover line is 85484
turn is 478, now time is 24491.23332095146, scover line is 85540
turn is 479, now time is 24588.05775785446, scover line is 85540
