turn is 356, now time is 25504.694336891174, scover line is 69469
turn is 357, now time is 25528.333049058914, scover line is 69469
turn is 358, now time is 25551.346025943756, scover line is 69469
turn is 359, now time is 25574.582292079926, scover line is 69469
turn is 360, now time is 25735.32365298271, scover line is 69469
turn is 361, now time is 25757.446125984192, scover line is 69481
turn is 362, now time is 25780.32588505745, scover line is 69482
turn is 363, now time is 25807.719342947006, scover line is 69482
turn is 364, now time is 25998.700660943985, scover line is 69482
turn is 365, now time is 26139.167749881744, scover line is 69494
turn is 366, now time is 26230.916367053986, scover line is 69552
turn is 367, now time is 26254.14898610115, scover line is 69554
turn is 368, now time is 26277.03251504898, scover line is 69554
turn is 369, now time is 26300.520327091217, scover line is 69554
turn is 370, now time is 26381.578386068344, scover line is 69817
turn is 371, now time is 26404.772645950317, scover line is 69819
turn is 372, now time is 26428.12186408043, scover line is 69819
turn is 373, now time is 26490.29592204094, scover line is 69819
turn is 374, now time is 26681.222312927246, scover line is 69819
turn is 375, now time is 26704.07418489456, scover line is 69819
turn is 376, now time is 26727.17232108116, scover line is 69819
turn is 377, now time is 26750.468859910965, scover line is 69819
turn is 378, now time is 26979.717142105103, scover line is 69819
turn is 379, now time is 27160.340831041336, scover line is 69819
turn is 380, now time is 27192.97576403618, scover line is 69819
turn is 381, now time is 27400.125586032867, scover line is 69819
turn is 382, now time is 27423.387516975403, scover line is 69819
turn is 383, now time is 27446.5298640728, scover line is 69819
turn is 384, now time is 27469.66678595543, scover line is 69819
turn is 385, now time is 27492.686038970947, scover line is 69819
turn is 386, now time is 27516.01891899109, scover line is 69819
turn is 387, now time is 27539.079523086548, scover line is 69819
turn is 388, now time is 27562.209605932236, scover line is 69819
turn is 389, now time is 27760.28344297409, scover line is 69819
turn is 390, now time is 27862.01210808754, scover line is 69819
turn is 391, now time is 27885.017347097397, scover line is 69819
turn is 392, now time is 27937.480350017548, scover line is 69819
turn is 393, now time is 27960.32462310791, scover line is 69819
turn is 394, now time is 28161.42180299759, scover line is 69819
turn is 395, now time is 28332.052932024002, scover line is 69819
turn is 396, now time is 28355.271179914474, scover line is 69819
turn is 397, now time is 28378.343283891678, scover line is 69819
turn is 398, now time is 28401.55704808235, scover line is 69819
turn is 399, now time is 28572.085375070572, scover line is 69819
turn is 400, now time is 28595.416564941406, scover line is 69819
turn is 401, now time is 28816.381050109863, scover line is 69819
turn is 402, now time is 28839.738785028458, scover line is 69819
turn is 403, now time is 28866.45365190506, scover line is 69819
