turn is 0, cover line is 1
turn is 686, cover line is 11194
turn is 687, cover line is 11194
turn is 688, cover line is 11194
turn is 689, cover line is 11194
turn is 690, cover line is 11194
turn is 691, cover line is 11194
turn is 692, cover line is 11194
turn is 693, cover line is 11194
turn is 694, cover line is 11194
turn is 695, cover line is 11194
turn is 696, cover line is 11194
turn is 697, cover line is 11194
turn is 698, cover line is 11194
turn is 699, cover line is 11194
turn is 700, cover line is 11194
turn is 701, cover line is 11194
turn is 702, cover line is 11194
turn is 703, cover line is 11194
turn is 704, cover line is 11194
turn is 705, cover line is 11194
turn is 706, cover line is 11194
turn is 707, cover line is 11197
turn is 708, cover line is 11197
turn is 709, cover line is 11197
turn is 710, cover line is 11197
turn is 711, cover line is 11197
turn is 712, cover line is 11197
turn is 713, cover line is 11197
turn is 714, cover line is 11197
turn is 715, cover line is 11197
turn is 716, cover line is 11197
turn is 717, cover line is 11198
turn is 718, cover line is 11198
turn is 719, cover line is 11198
turn is 720, cover line is 11198
turn is 721, cover line is 11198
turn is 722, cover line is 11198
turn is 723, cover line is 11198
turn is 724, cover line is 11198
turn is 725, cover line is 11200
turn is 726, cover line is 11200
turn is 727, cover line is 11200
turn is 728, cover line is 11200
turn is 729, cover line is 11200
turn is 730, cover line is 11200
turn is 731, cover line is 11445
turn is 732, cover line is 11445
turn is 733, cover line is 11445
turn is 734, cover line is 11445
turn is 735, cover line is 11445
turn is 736, cover line is 11445
turn is 737, cover line is 11445
turn is 738, cover line is 11445
turn is 739, cover line is 11445
turn is 740, cover line is 11445
turn is 741, cover line is 11445
turn is 742, cover line is 11445
turn is 743, cover line is 11445
turn is 744, cover line is 11445
turn is 745, cover line is 11445
turn is 746, cover line is 11445
turn is 747, cover line is 11445
turn is 748, cover line is 11445
turn is 749, cover line is 11445
turn is 750, cover line is 11445
turn is 751, cover line is 11445
turn is 752, cover line is 11445
turn is 753, cover line is 11447
turn is 754, cover line is 11447
turn is 755, cover line is 11447
turn is 756, cover line is 11447
turn is 757, cover line is 11447
turn is 758, cover line is 11447
turn is 759, cover line is 11447
turn is 760, cover line is 11447
turn is 761, cover line is 11447
turn is 762, cover line is 11447
turn is 763, cover line is 11447
turn is 764, cover line is 11447
turn is 765, cover line is 11447
turn is 766, cover line is 11447
turn is 767, cover line is 11447
turn is 768, cover line is 11447
turn is 769, cover line is 11447
turn is 770, cover line is 11447
turn is 771, cover line is 11447
turn is 772, cover line is 11447
turn is 773, cover line is 11447
turn is 774, cover line is 11447
turn is 775, cover line is 11447
turn is 776, cover line is 11447
turn is 777, cover line is 11447
turn is 778, cover line is 11447
turn is 779, cover line is 12129
turn is 780, cover line is 12129
turn is 781, cover line is 12129
turn is 782, cover line is 12129
turn is 783, cover line is 12129
turn is 784, cover line is 12129
turn is 785, cover line is 12129
turn is 786, cover line is 12129
turn is 787, cover line is 12129
turn is 788, cover line is 12129
turn is 789, cover line is 12129
turn is 790, cover line is 12129
turn is 791, cover line is 12129
turn is 792, cover line is 12129
turn is 793, cover line is 12129
turn is 794, cover line is 12129
turn is 795, cover line is 12129
turn is 796, cover line is 12129
turn is 797, cover line is 12129
turn is 798, cover line is 12129
turn is 799, cover line is 12129
turn is 800, cover line is 12129
turn is 801, cover line is 12129
turn is 802, cover line is 12129
turn is 803, cover line is 12129
turn is 804, cover line is 12129
turn is 805, cover line is 12129
turn is 806, cover line is 12129
turn is 807, cover line is 12129
turn is 808, cover line is 12129
turn is 809, cover line is 12129
turn is 810, cover line is 12129
turn is 811, cover line is 12129
turn is 812, cover line is 12129
turn is 813, cover line is 12129
turn is 814, cover line is 12129
turn is 815, cover line is 12129
turn is 816, cover line is 12129
turn is 817, cover line is 12129
turn is 818, cover line is 12129
turn is 819, cover line is 12129
turn is 820, cover line is 12129
turn is 821, cover line is 12129
turn is 822, cover line is 12129
turn is 823, cover line is 12129
turn is 824, cover line is 12129
turn is 825, cover line is 12129
turn is 826, cover line is 12129
turn is 827, cover line is 12129
turn is 828, cover line is 12129
turn is 829, cover line is 12129
turn is 830, cover line is 12129
turn is 831, cover line is 12129
turn is 832, cover line is 12129
turn is 833, cover line is 12129
turn is 834, cover line is 12129
turn is 835, cover line is 12129
turn is 836, cover line is 12162
turn is 837, cover line is 12162
turn is 838, cover line is 12162
turn is 839, cover line is 12162
turn is 840, cover line is 12162
turn is 841, cover line is 12162
turn is 842, cover line is 12162
turn is 843, cover line is 12162
turn is 844, cover line is 12162
turn is 845, cover line is 12162
turn is 846, cover line is 12162
turn is 847, cover line is 12162
turn is 848, cover line is 12162
turn is 849, cover line is 12162
turn is 850, cover line is 12162
turn is 851, cover line is 12162
turn is 852, cover line is 12162
turn is 853, cover line is 12162
turn is 854, cover line is 12162
turn is 855, cover line is 12162
turn is 856, cover line is 12162
turn is 857, cover line is 12162
turn is 858, cover line is 12162
turn is 859, cover line is 12162
turn is 860, cover line is 12162
turn is 861, cover line is 12167
turn is 862, cover line is 12167
turn is 863, cover line is 12167
turn is 864, cover line is 12167
turn is 865, cover line is 12167
turn is 866, cover line is 12167
turn is 867, cover line is 12167
turn is 868, cover line is 12167
turn is 869, cover line is 12167
turn is 870, cover line is 12167
turn is 871, cover line is 12167
turn is 872, cover line is 12169
turn is 873, cover line is 12169
turn is 874, cover line is 12169
turn is 875, cover line is 12170
turn is 876, cover line is 12170
turn is 877, cover line is 12170
turn is 878, cover line is 12170
turn is 879, cover line is 12170
turn is 880, cover line is 12170
turn is 881, cover line is 12170
turn is 882, cover line is 12170
turn is 883, cover line is 12204
turn is 884, cover line is 12204
turn is 885, cover line is 13562
turn is 886, cover line is 13562
turn is 887, cover line is 13562
turn is 888, cover line is 13562
turn is 889, cover line is 13562
turn is 890, cover line is 13562
turn is 891, cover line is 13562
turn is 892, cover line is 13562
